                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3799,                 3.5397,                 4.1811,                0.00391,                0.65217,                0.03571,                0.01293,                 3.2976,                 3.4707,                 4.1456,             0.00065641,             0.00065641,             0.00065641
                      2,                 3.0949,                 3.3392,                  3.748,                0.13442,                0.26654,                0.07945,                0.03065,                 3.3084,                 6.3694,                 6.2265,              0.0012358,              0.0012358,              0.0012358
                      3,                 2.9399,                 3.2085,                 3.4044,                0.26944,                0.26465,                0.15447,                0.06011,                 3.1246,                 9.0321,                 4.4711,              0.0017271,              0.0017271,              0.0017271
                      4,                 2.8766,                 3.1774,                 3.2683,                0.30431,                0.24953,                0.17823,                0.06987,                 2.9942,                 3.6955,                 3.4122,               0.001604,               0.001604,               0.001604
                      5,                 2.8028,                 3.1544,                 3.1694,                0.02887,                0.14367,                0.01773,                0.00552,                 3.0056,                 4.0663,                   3.18,               0.001472,               0.001472,               0.001472
                      6,                 2.5431,                 3.0866,                  2.892,                0.20535,                0.23819,                0.10908,                0.03432,                 3.1804,                 3.0387,                 3.5163,                0.00134,                0.00134,                0.00134
                      7,                 2.4487,                 2.8398,                 2.8826,                0.28335,                0.30793,                0.18781,                0.07536,                 2.9876,                 3.0069,                 3.3305,               0.001208,               0.001208,               0.001208
                      8,                 2.4284,                 2.6725,                    2.8,                0.43746,                 0.2741,                0.31133,                0.11457,                 3.2625,                 2.9169,                 3.8293,               0.001076,               0.001076,               0.001076
                      9,                  2.329,                 2.5584,                 2.7429,                0.32779,                0.28355,                0.21382,                0.07198,                 3.2511,                 2.6746,                 3.6025,               0.000944,               0.000944,               0.000944
                     10,                 2.2953,                 2.4691,                 2.7302,                0.36568,                0.40832,                0.30713,                0.11227,                 3.1488,                  2.536,                 3.6006,               0.000812,               0.000812,               0.000812
                     11,                 2.2115,                 2.3958,                 2.6397,                0.40208,                0.40454,                 0.3782,                0.16095,                 3.0655,                 2.3934,                 3.7031,                0.00068,                0.00068,                0.00068
                     12,                 2.1207,                 2.2973,                 2.6013,                0.39284,                0.45255,                0.32412,                0.13196,                 2.9366,                 2.4358,                  3.502,               0.000548,               0.000548,               0.000548
                     13,                 2.0564,                 2.2458,                 2.5402,                0.35978,                0.42068,                0.29214,                0.12008,                 2.9559,                 2.4542,                 3.5619,               0.000416,               0.000416,               0.000416
                     14,                 2.0313,                 2.2157,                 2.4874,                0.43523,                0.40832,                 0.3673,                0.17915,                 2.9306,                 2.5348,                 3.5557,               0.000284,               0.000284,               0.000284
                     15,                 1.9926,                 2.1624,                 2.4746,                0.42398,                0.47448,                0.36855,                0.17268,                 2.8989,                 2.3138,                 3.5621,               0.000152,               0.000152,               0.000152
