                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7828,                 0.9976,                 1.3076,                0.83083,                0.71116,                0.76607,                0.36424,                 1.7489,                 1.0198,                 1.3753,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7214,                0.98128,                 1.2784,                0.92934,                0.69071,                0.78067,                0.35608,                 1.8549,                0.92654,                 1.4208,               0.001307,               0.001307,               0.001307
                     37,                 1.7324,                0.97757,                 1.2697,                0.85628,                0.66302,                0.70371,                0.25657,                 2.2979,                 1.0571,                 1.6692,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7331,                 0.9619,                 1.2717,                0.90133,                0.69147,                0.78243,                0.40409,                 1.6054,                0.90634,                   1.32,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7226,                0.99071,                 1.2604,                0.86716,                0.68928,                0.70957,                 0.2977,                 2.0154,                 1.0334,                  1.532,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7057,                0.96671,                 1.2613,                0.88633,                0.69365,                 0.7458,                 0.2975,                 2.1227,                0.94941,                 1.5782,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.731,                0.96508,                 1.2728,                0.75832,                0.67834,                0.63037,                0.24037,                 2.1419,                 1.2582,                 1.5903,               0.001208,               0.001208,               0.001208
                     42,                 1.7071,                0.98539,                 1.2697,                0.88818,                0.72429,                 0.7804,                0.40119,                 1.6125,                0.89922,                 1.3211,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.7029,                  0.949,                 1.2679,                0.89156,                0.68365,                0.74176,                0.32323,                 1.9724,                0.96114,                 1.5044,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.678,                0.95406,                 1.2536,                0.91048,                 0.6899,                0.76227,                0.33748,                  1.841,                0.99097,                 1.4287,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.6899,                0.94974,                 1.2525,                0.89466,                0.69147,                0.73536,                0.24737,                 2.2808,                 1.0137,                 1.6628,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6882,                0.94177,                  1.252,                0.89294,                0.67177,                0.74344,                0.30837,                 2.0955,                0.97147,                 1.5495,               0.001109,               0.001109,               0.001109
                     47,                 1.6545,                0.92437,                 1.2353,                0.86824,                0.70657,                0.75479,                0.34424,                 1.8461,                0.96971,                 1.4369,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.689,                0.96172,                 1.2489,                0.89774,                0.71116,                0.73468,                0.25221,                  2.215,                0.97514,                 1.6078,              0.0010694,              0.0010694,              0.0010694
