                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7205,                0.96664,                 1.2575,                0.88924,                0.66502,                 0.7268,                0.29985,                  1.985,                 1.0306,                 1.5157,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.7203,                0.96434,                 1.2653,                0.88883,                0.70897,                0.76154,                0.33053,                  1.874,                0.99704,                 1.4495,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.6873,                0.97039,                  1.246,                0.83293,                0.67128,                0.67608,                0.23437,                 2.3113,                 1.1485,                 1.7307,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.7265,                0.95713,                 1.2713,                0.88284,                0.68144,                0.72126,                0.27882,                 2.1074,                0.97124,                 1.5833,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.7234,                0.96811,                 1.2535,                0.90416,                0.69713,                0.76329,                0.33849,                 1.8802,                0.98805,                 1.4454,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.683,                 0.9317,                  1.255,                0.88755,                0.69294,                0.74656,                0.30627,                 2.0566,                   0.97,                 1.5492,              0.0016238,              0.0016238,              0.0016238
                     40,                   1.67,                 0.9516,                 1.2423,                0.90237,                0.71335,                0.78164,                0.34505,                 1.8637,                0.90987,                 1.4545,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.6855,                0.94049,                 1.2488,                0.89376,                0.67488,                0.74224,                0.29316,                 2.1758,                  1.035,                 1.6153,               0.001604,               0.001604,               0.001604
                     42,                  1.657,                0.92729,                 1.2469,                0.87012,                0.70279,                0.75151,                0.30253,                 2.0711,                0.97516,                 1.5606,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.6663,                0.93493,                 1.2422,                0.76411,                0.65422,                0.62205,                0.20332,                 2.3445,                 1.2472,                 1.7077,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.6553,                 0.9307,                 1.2316,                0.89256,                0.68309,                0.75577,                0.32114,                 1.9598,                 1.0491,                 1.4912,              0.0015743,              0.0015743,              0.0015743
                     45,                  1.665,                0.94014,                 1.2485,                0.91724,                0.72797,                0.78522,                0.35835,                 1.7987,                 0.9491,                 1.4056,              0.0015644,              0.0015644,              0.0015644
                     46,                  1.624,                0.93717,                 1.2212,                0.86703,                0.69593,                0.74378,                0.27592,                 2.1722,                0.96514,                 1.5965,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.6524,                0.93012,                 1.2559,                0.82462,                0.68309,                0.69009,                0.24369,                 2.2295,                 1.0336,                 1.6444,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.6422,                0.93662,                 1.2292,                 0.9127,                0.71921,                0.78007,                 0.3173,                 1.9907,                0.92326,                 1.5045,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.6143,                0.90479,                 1.2207,                0.89366,                0.71593,                0.75954,                0.32458,                 1.9063,                0.91778,                  1.481,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.6464,                0.92686,                 1.2343,                0.93162,                0.70279,                0.77437,                0.33477,                 1.9024,                0.92931,                 1.4685,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.6529,                0.92023,                 1.2344,                0.84132,                0.68778,                0.69177,                 0.2282,                 2.3599,                 1.1862,                 1.7413,               0.001505,               0.001505,               0.001505
                     52,                 1.6147,                0.89881,                 1.2114,                0.91598,                0.71604,                0.77414,                 0.3437,                 1.8705,                0.93289,                 1.4562,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.5808,                0.90113,                   1.21,                0.90278,                 0.7225,                0.78781,                 0.3518,                 1.8595,                0.91111,                 1.4349,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.6468,                0.91163,                 1.2278,                0.61008,                0.53366,                0.49689,                0.11365,                 2.9367,                 1.2491,                 2.1262,              0.0014753,              0.0014753,              0.0014753
                     55,                  1.572,                0.89287,                 1.2097,                0.89472,                0.69773,                0.75898,                0.31546,                 2.0324,                 0.9485,                 1.5149,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.5838,                0.89868,                 1.2112,                0.90705,                0.68905,                0.76242,                0.30972,                 2.0435,                0.91709,                  1.555,              0.0014555,              0.0014555,              0.0014555
                     57,                   1.61,                0.89034,                 1.2274,                0.85237,                0.69207,                0.71824,                0.24155,                 2.2791,                0.99289,                 1.6983,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.5649,                0.87789,                 1.2012,                0.92323,                0.70279,                0.76867,                0.30045,                 2.1383,                0.91439,                 1.6036,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.5722,                0.87523,                 1.2085,                0.88243,                 0.6913,                0.74729,                0.29023,                 2.1476,                0.93974,                 1.6072,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.5762,                0.87701,                 1.2056,                 0.9192,                0.71757,                0.79252,                0.36663,                 1.8115,                0.85221,                 1.4214,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.5519,                0.88139,                 1.2024,                0.85791,                0.67488,                0.70259,                0.23407,                 2.3982,                 1.0232,                 1.7673,               0.001406,               0.001406,               0.001406
                     62,                 1.5799,                0.85931,                 1.2022,                0.88653,                0.67816,                0.74855,                0.26667,                 2.3042,                0.95946,                 1.6781,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.5604,                0.87081,                 1.1977,                0.91725,                0.72803,                0.79412,                0.35992,                 1.8175,                0.87876,                 1.4243,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.5324,                0.85238,                 1.1829,                0.91343,                0.71033,                0.78271,                0.30238,                 2.1182,                0.91676,                 1.5754,              0.0013763,              0.0013763,              0.0013763
                     65,                  1.557,                0.85395,                 1.1979,                0.92342,                0.71283,                0.78752,                 0.3188,                 1.9923,                0.90963,                 1.5061,              0.0013664,              0.0013664,              0.0013664
                     66,                  1.565,                0.88674,                 1.2039,                0.82324,                 0.6798,                0.69729,                0.21418,                 2.4533,                   1.02,                 1.7704,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.5755,                0.86651,                  1.209,                0.90168,                0.69622,                0.77259,                0.31376,                 2.0077,                0.90771,                 1.5347,              0.0013466,              0.0013466,              0.0013466
                     68,                  1.549,                0.86572,                 1.1966,                0.90301,                0.71856,                0.77165,                0.29368,                 2.1638,                0.93321,                 1.6097,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.5277,                0.85147,                 1.1811,                0.88487,                0.70772,                 0.7552,                0.27945,                 2.1877,                0.93028,                 1.6164,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.5768,                0.85622,                 1.2063,                0.85795,                0.66448,                 0.7149,                0.21863,                 2.4801,                0.95254,                 1.8471,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.5228,                0.83074,                 1.1764,                0.91233,                 0.7225,                0.78887,                0.33209,                 1.9653,                 0.8774,                 1.4983,               0.001307,               0.001307,               0.001307
                     72,                  1.548,                0.85555,                 1.1952,                0.91798,                0.74056,                 0.8049,                0.34468,                 1.9124,                0.84926,                 1.4655,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.5435,                0.85511,                 1.1986,                0.89809,                0.73802,                 0.7945,                0.33934,                 1.9796,                0.86977,                 1.4961,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.5221,                0.83805,                 1.1829,                0.90507,                0.75141,                0.80461,                0.35253,                 1.8729,                0.86104,                 1.4377,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.4979,                0.82811,                 1.1723,                0.92141,                0.73727,                0.80292,                0.34321,                  1.961,                 0.8661,                 1.4846,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.4977,                0.81732,                 1.1848,                0.92891,                 0.7422,                0.81138,                0.37748,                 1.8339,                0.81538,                 1.4179,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.5017,                0.83166,                 1.1845,                0.91342,                  0.711,                0.77523,                0.30019,                 2.1399,                0.86865,                 1.5759,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.5016,                0.82544,                 1.1865,                  0.908,                0.71311,                0.77611,                0.30216,                    2.1,                0.95792,                 1.5689,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.4952,                 0.8275,                 1.1749,                0.92082,                0.72563,                0.79526,                0.33075,                 2.0311,                0.84956,                 1.5274,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.5027,                0.84741,                 1.1697,                0.87703,                0.70443,                0.75132,                 0.2627,                 2.2854,                0.98055,                 1.6781,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.4701,                0.79557,                 1.1487,                0.93203,                0.74308,                0.81397,                0.34897,                 1.9357,                0.82864,                 1.4815,               0.001208,               0.001208,               0.001208
                     82,                 1.4754,                0.80476,                 1.1631,                 0.9122,                0.72085,                0.79547,                0.34128,                 1.9362,                0.83119,                 1.4834,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.4841,                0.82346,                  1.172,                0.90584,                0.75534,                0.80128,                0.37418,                 1.7977,                    0.8,                 1.4006,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.5035,                0.82067,                 1.1869,                0.90582,                0.72742,                0.79022,                0.32803,                 2.0182,                0.87717,                 1.5115,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.4792,                0.82948,                 1.1717,                0.87204,                0.71622,                0.76009,                0.27147,                 2.2715,                0.91016,                 1.6871,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.4526,                0.81163,                 1.1598,                0.90732,                0.73399,                0.79058,                0.32484,                 2.0031,                0.87139,                 1.5162,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.4757,                0.81712,                 1.1737,                 0.9094,                0.74172,                0.81555,                0.33253,                 2.0129,                0.85985,                 1.5251,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.4675,                0.81409,                 1.1702,                0.93219,                0.73071,                0.80599,                0.34745,                 1.9389,                0.83795,                  1.494,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.4516,                0.80506,                 1.1601,                0.89218,                0.72016,                0.79316,                0.31408,                  2.056,                0.86338,                 1.5428,              0.0011288,              0.0011288,              0.0011288
                     90,                  1.463,                0.79103,                 1.1637,                0.89077,                0.74548,                0.80112,                0.33646,                 1.9902,                0.82412,                 1.5177,              0.0011189,              0.0011189,              0.0011189
