                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2998,                 3.4282,                 4.0408,                0.00345,                0.65545,                0.02953,                0.00702,                 3.5583,                 3.6263,                 3.9782,             0.00066133,             0.00066133,             0.00066133
                      2,                 2.8879,                 3.2367,                 3.4526,                0.15344,                0.26643,                0.08608,                0.02533,                 3.0323,                 4.4638,                 3.3543,             0.00088976,             0.00088976,             0.00088976
                      3,                 2.7528,                 3.1264,                 3.2273,                0.08788,                0.24833,                0.05363,                0.01404,                 3.1442,                 3.3789,                 3.3205,             0.00067819,             0.00067819,             0.00067819
